Name,First name,Last name,Email,Gender,Roll No.,Department,Courses,Admission Date,Year,Grade,Hosteller/ Day Scholar
Vaibhav Khare,Vaibhav,Khare,Khare.Vaibhav@hotmail.com,F,MU7466,Chemistry,"Inorganic Chemistry, Organic Chemistry, Physical Chemistry, Analytical Chemistry, Biochemistry",15-02-2024,2nd year,C,Hosteller
Nakul Kara,Nakul,Kara,Kara.Nakul@yahoo.com,M,MU0013,Mathematics,"Calculus, Linear Algebra, Probability and Statistics, Number Theory, Differential Equations",27-08-2022,3rd year,C,Suspended
Himmat Kashyap,Himmat,Kashyap,Kashyap.Himmat@yahoo.com,M,MU1668,Psychology,"Introduction to Psychology, Abnormal Psychology, Cognitive Psychology, Social Psychology, Developmental Psychology",16-01-2021,3rd year,B,Hosteller
Emir Shanker,Emir,Shanker,Shanker.Emir@yahoo.com,M,MU9410,Psychology,"Introduction to Psychology, Abnormal Psychology, Cognitive Psychology, Social Psychology, Developmental Psychology",10-11-2021,4th year,F,Day Scholar
Umang Sami,Umang,Sami,Sami.Umang@hotmail.com,M,MU5971,Chemistry,"Inorganic Chemistry, Organic Chemistry, Physical Chemistry, Analytical Chemistry, Biochemistry",23-03-2024,2nd year,A,Hosteller
Shlok Srinivasan,Shlok,Srinivasan,Srinivasan.Shlok@gmail.com,F,MU3226,Chemistry,"Inorganic Chemistry, Organic Chemistry, Physical Chemistry, Analytical Chemistry, Biochemistry",04-01-2024,2nd year,D,Suspended
Aarna Ratta,Aarna,Ratta,Ratta.Aarna@hotmail.com,M,MU0488,Physics,"Classical Mechanics, Electromagnetism, Quantum Mechanics, Thermodynamics, Astrophysics",19-04-2022,4th year,B,Suspended
Vivaan Sen,Vivaan,Sen,Sen.Vivaan@hotmail.com,M,MU4378,English,"Literature, Creative Writing, Linguistics, Shakespearean Studies, Poetry",25-01-2021,1st year,B,Suspended
Aayush Lalla,Aayush,Lalla,Lalla.Aayush@yahoo.com,F,MU4189,Art and Design,"Drawing, Painting, Sculpture, Graphic Design, Art History",27-11-2021,4th year,A,Suspended
Divyansh Seth,Divyansh,Seth,Seth.Divyansh@gmail.com,F,MU4404,Mechanical Engineering,"Thermodynamics, Mechanics of Materials, Fluid Mechanics, Control Systems, CAD/CAM",15-08-2021,2nd year,A,Suspended
Manjari Sharma,Manjari,Sharma,Sharma.Manjari@hotmail.com,F,MU4260,History,"World History, American History, European History, Ancient History, Medieval History",22-05-2024,2nd year,A+,Day Scholar
Bhavin Baral,Bhavin,Baral,Baral.Bhavin@hotmail.com,F,MU0908,Physics,"Classical Mechanics, Electromagnetism, Quantum Mechanics, Thermodynamics, Astrophysics",19-05-2021,3rd year,F,Day Scholar
Indranil Kale,Indranil,Kale,Kale.Indranil@gmail.com,M,MU0272,Environmental Science,"Environmental Biology, Climate Change Studies, Environmental Policy, Conservation Ecology, Geospatial Analysis",11-09-2022,4th year,E,Suspended
